wavelength [nm], relative absorbance
516.24662, 0.89659945
516.26163, 0.89688494
516.27663, 0.89716921
516.29163, 0.89745148
516.30663, 0.89773100
516.32163, 0.89800701
516.33663, 0.89827876
516.35164, 0.89854550
516.36664, 0.89880651
516.38164, 0.89906107
516.39664, 0.89930846
516.41164, 0.89954801
516.42664, 0.89977904
516.44164, 0.90000090
516.45665, 0.90021296
516.47165, 0.90041462
516.48665, 0.90060529
516.50165, 0.90078442
516.51665, 0.90095147
516.53165, 0.90110595
516.54665, 0.90124739
516.56166, 0.90137534
516.57666, 0.90148941
516.59166, 0.90158921
516.60666, 0.90167440
516.62166, 0.90174469
516.63666, 0.90179980
516.65167, 0.90183950
516.66667, 0.90186359
516.68167, 0.90187192
516.69667, 0.90186437
516.71167, 0.90184084
516.72667, 0.90180130
516.74167, 0.90174573
516.75668, 0.90167418
516.77168, 0.90158670
516.78668, 0.90148340
516.80168, 0.90136443
516.81668, 0.90122997
516.83168, 0.90108022
516.84668, 0.90091545
516.86169, 0.90073594
516.87669, 0.90054201
516.89169, 0.90033400
516.90669, 0.90011232
516.92169, 0.89987737
516.93669, 0.89962960
516.95170, 0.89936948
516.96670, 0.89909752
516.98170, 0.89881425
516.99670, 0.89852021
517.01170, 0.89821598
517.02670, 0.89790217
517.04170, 0.89757938
517.05671, 0.89724826
517.07171, 0.89690946
517.08671, 0.89656364
517.10171, 0.89621149
517.11671, 0.89585370
517.13171, 0.89549098
517.14671, 0.89512402
517.16172, 0.89475356
517.17672, 0.89438032
517.19172, 0.89400501
517.20672, 0.89362837
517.22172, 0.89325112
517.23672, 0.89287398
517.25173, 0.89249767
517.26673, 0.89212290
517.28173, 0.89175038
517.29673, 0.89138080
517.31173, 0.89101485
517.32673, 0.89065320
517.34173, 0.89029649
